"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"1483","Brunei",1986-05-07,69,229,5,3,0,524,11.4,6.9,0,58,0
"1494","Bulgaria",1986-05-07,69,409495,5115,16886,487,58937.1,736.2,2430.3,70.1,59,57
"1597","Burkina Faso",1986-05-07,69,13353,43,162,5,638.8,2.1,7.8,0.2,58,57
"1612","Burma",1986-05-07,69,142903,86,3210,1,2626.4,1.6,59,0,54,34
"1703","Burundi",1986-05-07,69,4132,137,6,0,347.5,11.5,0.5,0,46,0
"1762","Cambodia",1986-05-07,69,18179,4777,114,21,1087.3,285.7,6.8,1.3,57,5
"1832","Cameroon",1986-05-07,69,74946,2696,1152,45,2823.3,101.6,43.4,1.7,57,56
"1883","Canada",1986-05-07,69,1281833,53479,24523,303,33963,1417,649.8,8,60,59
"1955","Cape Verde",1986-05-07,69,25837,1955,231,14,46469.4,3516.2,415.5,25.2,53,45
"2004","Central African Republic",1986-05-07,69,6674,263,93,5,1381.8,54.5,19.3,1,52,46
"2069","Chad",1986-05-07,69,4862,45,170,0,296,2.7,10.3,0,52,52
"2133","Chile",1986-05-07,69,1235778,37533,27004,651,64646.3,1963.4,1412.6,34.1,59,57
"2221","Colombia",1986-05-07,69,2968626,108902,76867,3147,58342.2,2140.2,1510.7,61.8,59,57
"2278","Comoros",1986-05-07,69,3854,20,146,0,4429.9,23,167.8,0,48,18
"2318","Costa Rica",1986-05-07,69,265486,14495,3365,134,52117.4,2845.5,660.6,26.3,58,50
"2398","Cote d'Ivoire",1986-05-07,69,46344,308,291,5,1756.9,11.7,11,0.2,58,54
"2448","Croatia",1986-05-07,69,342487,10304,7388,307,83431.7,2510.1,1799.8,74.8,59,56
"2525","Cuba",1986-05-07,69,113876,7169,713,69,10053.5,632.9,62.9,6.1,57,56
"2551","Cyprus",1986-05-07,69,68766,3533,332,24,56972.7,2927.1,275.1,19.9,58,57
"2624","Czech Republic",1986-05-07,69,1642696,11938,29608,341,153394,1114.8,2764.8,31.8,60,57
"2660","Democratic Republic of the Congo",1986-05-07,69,30240,387,772,6,337.6,4.3,8.6,0.1,57,57
"2773","Denmark",1986-05-07,69,258204,6955,2496,12,44579.4,1200.8,430.9,2.1,60,58
"2838","Diamond Princess Cruise Ship",1986-05-07,69,712,0,13,0,NA,NA,NA,NA,64,58
"2875","Djibouti",1986-05-07,69,11319,219,148,5,11456.5,221.7,149.8,5.1,56,50
"2906","Dominica",1986-05-07,69,174,0,0,0,2416.7,0,0,0,17,0
"3015","Dominican Republic",1986-05-07,69,269958,3397,3517,37,24885.5,313.1,324.2,3.4,58,58
"3036","Ecuador",1986-05-07,69,396888,15026,19061,430,22495.5,851.7,1080.4,24.4,59,58
"3112","Egypt",1986-05-07,69,235140,7588,13779,440,2297.8,74.1,134.6,4.3,59,58
"3189","El Salvador",1986-05-07,69,70255,1057,2146,22,10831.8,163,330.9,3.4,56,53
"3258","Equatorial Guinea",1986-05-07,69,7694,0,112,0,5484,0,79.8,0,54,50
"3303","Eritrea",1986-05-07,69,3742,71,12,2,1055.3,20,3.4,0.6,46,5
"3373","Estonia",1986-05-07,69,124529,2510,1193,32,93842.5,1891.5,899,24.1,59,57
"3404","Eswatini",1986-05-07,69,18474,16,671,0,15925.9,13.8,578.4,0,53,44
"3507","Ethiopia",1986-05-07,69,261580,4138,3840,152,2275.3,36,33.4,1.3,54,48
"3516","Fiji",1986-05-07,69,129,12,3,1,144,13.4,3.3,1.1,1,0
"3594","Finland",1986-05-07,69,88332,1524,922,8,15941.5,275,166.4,1.4,60,57
"3656","France",1986-05-07,69,5808421,130586,106262,1587,88985.2,2000.6,1627.9,24.3,61,60
"3718","Gabon",1986-05-07,69,23311,236,142,3,10472.1,106,63.8,1.3,55,51
"3809","Georgia",1986-05-07,69,319266,8956,4245,135,80036.6,2245.2,1064.2,33.8,57,52
"3878","Germany",1986-05-07,69,3517762,112397,84659,1562,41986.1,1341.5,1010.4,18.6,61,59
"3948","Ghana",1986-05-07,69,92856,294,783,4,2988.3,9.5,25.2,0.1,58,54
"3972","Greece",1986-05-07,69,358116,13083,10910,529,34358.2,1255.2,1046.7,50.8,60,58
"4022","Grenada",1986-05-07,69,160,0,1,0,1415.9,0,8.8,0,19,0
"4105","Guatemala",1986-05-07,69,233696,6025,7695,171,13044,336.3,429.5,9.5,56,54
"4189","Guinea",1986-05-07,69,22553,338,149,5,1717.3,25.7,11.3,0.4,56,52
"4232","Guinea-Bissau",1986-05-07,69,3739,5,67,0,1899.9,2.5,34,0,53,48
"4283","Guyana",1986-05-07,69,14073,790,314,18,17881.8,1003.8,399,22.9,51,52
"4374","Haiti",1986-05-07,69,13164,108,263,9,1154.4,9.5,23.1,0.8,52,52
"4396","Holy See (Vatican City)",1986-05-07,69,27,0,0,0,27000,0,0,0,0,0
"4456","Honduras",1986-05-07,69,218330,5997,5585,304,22042.4,605.5,563.9,30.7,57,57
"4551","Hong Kong",1986-05-07,69,11801,27,210,1,1574.1,3.6,28,0.1,61,42
"4608","Hungary",1986-05-07,69,789188,9840,28403,863,81696.5,1018.6,2940.3,89.3,58,58
"4664","Iceland",1986-05-07,69,6506,34,29,0,19079.2,99.7,85,0,60,54
"4717","India",1986-05-07,69,21892676,2727707,238270,26417,15864.2,1976.6,172.7,19.1,59,58
"4778","Indonesia",1986-05-07,69,1703632,35264,46663,1142,6228.5,128.9,170.6,4.2,59,59
"4847","Iran (Islamic Republic of)",1986-05-07,69,2627094,128017,74241,2483,31277.5,1524.1,883.9,29.6,62,62
"4920","Iraq",1986-05-07,69,1103950,38751,15702,237,27445.7,963.4,390.4,5.9,60,59
"4957","Ireland",1986-05-07,69,251904,3034,4918,15,51013.4,614.4,995.9,3,59,58
"5045","Israel",1986-05-07,69,838858,377,6375,12,96910.6,43.6,736.5,1.4,60,58
"5118","Italy",1986-05-07,69,4092747,70094,122470,1663,67691.2,1159.3,2025.6,27.5,62,62
